"","vector","type","label","units","parent_vector","aggregation","details"
"1","v_CA16_401","Total","Population, 2016","Number",NA,"Additive","CA 2016 Census; Population and Dwellings; Population, 2016"
"2","v_CA16_402","Total","Population, 2011","Number",NA,"Additive","CA 2016 Census; Population and Dwellings; Population, 2011"
"3","v_CA16_403","Total","Population percentage change, 2011 to 2016","Number",NA,"Average of v_CA16_402","CA 2016 Census; Population and Dwellings; Population percentage change, 2011 to 2016"
"4","v_CA16_404","Total","Total private dwellings","Number",NA,"Additive","CA 2016 Census; Population and Dwellings; Total private dwellings"
"5","v_CA16_405","Total","Private dwellings occupied by usual residents","Number","v_CA16_404","Additive","CA 2016 Census; Population and Dwellings; Total private dwellings; Private dwellings occupied by usual residents"
"6","v_CA16_406","Total","Population density per square kilometre","Ratio",NA,"Average of v_CA16_407","CA 2016 Census; Population and Dwellings; Population density per square kilometre"
"7","v_CA16_407","Total","Land area in square kilometres","Number",NA,"Additive","CA 2016 Census; Population and Dwellings; Land area in square kilometres"
"8","v_CA16_1","Total","Total - Age","Number",NA,"Additive","CA 2016 Census; 100% data; Total - Age"
"9","v_CA16_2","Male","Total - Age","Number",NA,"Additive","CA 2016 Census; 100% data; Total - Age"
"10","v_CA16_3","Female","Total - Age","Number",NA,"Additive","CA 2016 Census; 100% data; Total - Age"
"11","v_CA16_4","Total","0 to 14 years","Number","v_CA16_1","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years"
"12","v_CA16_5","Male","0 to 14 years","Number","v_CA16_2","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years"
"13","v_CA16_6","Female","0 to 14 years","Number","v_CA16_3","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years"
"14","v_CA16_7","Total","0 to 4 years","Number","v_CA16_4","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years"
"15","v_CA16_8","Male","0 to 4 years","Number","v_CA16_5","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years"
"16","v_CA16_9","Female","0 to 4 years","Number","v_CA16_6","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years"
"17","v_CA16_10","Total","Under 1 year","Number","v_CA16_7","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; Under 1 year"
"18","v_CA16_11","Male","Under 1 year","Number","v_CA16_8","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; Under 1 year"
"19","v_CA16_12","Female","Under 1 year","Number","v_CA16_9","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; Under 1 year"
"20","v_CA16_13","Total","1","Number","v_CA16_7","Additive","CA 2016 Census; 100% data; Total - Age; 0 to 14 years; 0 to 4 years; 1"
